fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
1.48815,0.01154,0.00801,0.90699,0.00037,3.52494,0.79285,4.17172,0.65828,1.25414,0.0126,0.59473,0.43427,0.0,0.11921,0.51905,0.0,0.0,0.0,0.49357,0.0,0.88466,0.0,0.0
1.52598,0.01065,0.00877,0.90871,0.00051,3.08124,0.73525,5.77518,0.70604,1.74609,0.01486,0.75039,0.39378,0.0,0.09231,0.48072,0.0,0.0,0.0,0.58323,0.0,0.84934,0.0,0.0
1.52538,0.0105,0.0094,0.93819,0.00052,3.6167,0.78173,5.33214,0.6446,1.57928,0.0151,0.69716,0.35257,0.0,0.10758,0.51575,0.0,0.0,0.0,0.58982,0.0,0.79257,0.0,0.0
1.50376,0.0112,0.0089,0.85421,0.00044,3.46601,0.7425,4.8838,0.62927,1.58875,0.01738,0.69716,0.40439,0.0,0.12681,0.51577,0.0,0.0,0.0,0.62459,0.0,0.7893,0.0,0.0
1.47455,0.01067,0.00952,0.94102,0.00049,3.4934,0.73814,5.4337,0.65924,1.67905,0.01519,0.65036,0.35282,0.0,0.11526,0.54111,0.0,0.0,0.0,0.62845,0.0,0.77797,0.0,0.0
1.5184,0.01042,0.00915,0.89576,0.00048,3.57084,0.83544,5.17747,0.6446,1.62199,0.01638,0.60285,0.30202,0.0,0.08745,0.61482,0.0,0.0,0.0,0.69004,0.0,0.65145,0.0,0.0
1.55114,0.00892,0.00951,0.94102,0.0005,3.64238,0.76332,5.12088,0.70699,1.57928,0.01536,0.83299,0.35813,0.0,0.12168,0.53601,0.0,0.0,0.0,0.64594,0.0,0.69792,0.0,0.0
1.50664,0.00874,0.00951,0.94462,0.0005,3.58854,0.76332,5.12088,0.71663,1.57928,0.01253,0.79017,0.35813,0.0,0.11688,0.53601,0.0,0.0,0.0,0.63017,0.0,0.65119,0.0,0.0
1.52631,0.00826,0.0094,0.94102,0.00051,3.66316,0.76332,5.12088,0.70699,1.57928,0.01574,0.84495,0.35923,0.0,0.1144,0.53601,0.0,0.0,0.0,0.63397,0.0,0.64324,0.0,0.0
1.51723,0.00886,0.00954,0.94102,0.00051,3.60148,0.77835,4.86273,0.70699,1.57928,0.0154,0.82932,0.35431,0.0,0.12198,0.53601,0.0,0.0,0.0,0.63306,0.0,0.71152,0.0,0.0
1.48737,0.00988,0.00951,0.94314,0.00043,4.1402,0.76332,5.12088,0.68452,1.77733,0.01598,0.76001,0.37522,0.0,0.12242,0.53601,0.0,0.0,0.0,0.67528,0.0,0.70882,0.0,0.0
